lowest fitness found, 4640 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 1760 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4760 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4790 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 4950 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,1, round, 
lowest fitness found, 1570 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2650 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2140 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2620 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 2820 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 3960 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 4680 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 4800 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 3810 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 4750 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 4680 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 5100 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,3, round, 
lowest fitness found, 3430 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 2530 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 3190 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 3070 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 3480 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 2950 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 3860 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 3990 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 5180 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 5090 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 4840 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 5130 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,5, round, 
lowest fitness found, 3670 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 3610 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 3100 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 4540 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 3750 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 3670 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 4180 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 4420 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 3410 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 5210 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 4920 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 5090 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,7, round, 
lowest fitness found, 2380 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 3190 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 3530 , learning factor,  0.5, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 3930 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 3930 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 4680 , learning factor,  0.6, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 3840 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 4720 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 3840 , learning factor,  0.7, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 5230 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 4830 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 5320 , learning factor,  0.8, w , 0.1, u1 ,3, u2 ,9, round, 
lowest fitness found, 800 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 740 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 740 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 2590 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 4940 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 2600 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 4640 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 4430 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 4570 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 4490 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 5040 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 4710 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,1, round, 
lowest fitness found, 2070 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 2720 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 1930 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 4580 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 3260 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 4790 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 3670 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 5010 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 4280 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 4520 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 5160 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 4870 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,3, round, 
lowest fitness found, 2750 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 3650 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4080 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 3380 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 3440 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 3690 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4960 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4440 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4860 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4900 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4430 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 4410 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,5, round, 
lowest fitness found, 3780 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 3330 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 3670 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 3510 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 3710 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 3580 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 4690 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 4280 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 5200 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 4820 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 4920 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 5140 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,7, round, 
lowest fitness found, 2880 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 2780 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 3860 , learning factor,  0.5, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 4130 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 4100 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 3760 , learning factor,  0.6, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 4130 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 4620 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 3840 , learning factor,  0.7, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 5070 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 4960 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 5260 , learning factor,  0.8, w , 0.1, u1 ,5, u2 ,9, round, 
lowest fitness found, 2340 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 1470 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 2030 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 3210 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 4230 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 3470 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 3970 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 4880 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 4100 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 5070 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 5030 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 4620 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,1, round, 
lowest fitness found, 4210 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 3120 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 2630 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 4520 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 3860 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 3550 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 4410 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 3650 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 4490 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 4890 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 4590 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 4920 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,3, round, 
lowest fitness found, 2930 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 3850 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 2940 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 3580 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 3780 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 4380 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 4320 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 4310 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 3900 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 5040 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 4840 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 5050 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,5, round, 
lowest fitness found, 3090 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 2970 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 3250 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 4110 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 3950 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 3690 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 4520 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 4410 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 5170 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 4440 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 4720 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 5120 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,7, round, 
lowest fitness found, 3750 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 3430 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 3310 , learning factor,  0.5, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 3380 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 3380 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 3260 , learning factor,  0.6, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 4520 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 4290 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 5000 , learning factor,  0.7, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 4360 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 4250 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 4910 , learning factor,  0.8, w , 0.1, u1 ,7, u2 ,9, round, 
lowest fitness found, 1970 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 1640 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 2340 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 4210 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 2850 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 4460 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 4620 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 4890 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 4850 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 5210 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 5040 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 4950 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,1, round, 
lowest fitness found, 3950 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 3270 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 3730 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 2820 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 4220 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 3070 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 4610 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 4200 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 3980 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 5130 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 5000 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 5020 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,3, round, 
lowest fitness found, 3140 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 3310 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 3100 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4250 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4400 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 3970 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4620 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4630 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4780 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4760 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 5100 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4920 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,5, round, 
lowest fitness found, 4060 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 3890 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 3910 , learning factor,  0.5, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4010 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4140 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4300 , learning factor,  0.6, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 3880 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4940 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4240 , learning factor,  0.7, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4650 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4950 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,7, round, 
lowest fitness found, 4910 , learning factor,  0.8, w , 0.1, u1 ,9, u2 ,7, round, 
