lowest fitness found, 4880 , learning factor,  0.75, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 7130 , learning factor,  0.75, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 5850 , learning factor,  0.75, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 5570 , learning factor,  0.75, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 7370 , learning factor,  0.75, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 5070 , learning factor,  0.75, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 6230 , learning factor,  0.755, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 3770 , learning factor,  0.755, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 5910 , learning factor,  0.755, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 6600 , learning factor,  0.755, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 6410 , learning factor,  0.755, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 3950 , learning factor,  0.755, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 4600 , learning factor,  0.76, w , 0.1, u1 ,0.8, u2 ,0.8, round, 0
lowest fitness found, 3470 , learning factor,  0.76, w , 0.1, u1 ,0.8, u2 ,0.8, round, 1
lowest fitness found, 7100 , learning factor,  0.76, w , 0.1, u1 ,0.8, u2 ,0.8, round, 2
lowest fitness found, 5720 , learning factor,  0.76, w , 0.1, u1 ,0.8, u2 ,0.8, round, 3
lowest fitness found, 6160 , learning factor,  0.76, w , 0.1, u1 ,0.8, u2 ,0.8, round, 4
lowest fitness found, 3230 , learning factor,  0.76, w , 0.1, u1 ,0.8, u2 ,0.8, round, 5
lowest fitness found, 1980 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,1, round, 0
lowest fitness found, 5390 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,1, round, 1
lowest fitness found, 3700 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,1, round, 2
lowest fitness found, 2210 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,1, round, 3
lowest fitness found, 2120 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,1, round, 4
lowest fitness found, 1630 , learning factor,  0.7, w , 0.1, u1 ,0.8, u2 ,1, round, 5
lowest fitness found, 2620 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,1, round, 0
lowest fitness found, 1900 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,1, round, 1
lowest fitness found, 2580 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,1, round, 2
lowest fitness found, 6780 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,1, round, 3
lowest fitness found, 7220 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,1, round, 4
lowest fitness found, 1760 , learning factor,  0.705, w , 0.1, u1 ,0.8, u2 ,1, round, 5
lowest fitness found, 3210 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,1, round, 0
lowest fitness found, 6140 , learning factor,  0.71, w , 0.1, u1 ,0.8, u2 ,1, round, 1
